method,drug_pairs,min_size,max_size,common_ratio,SR_subgraph1,SR_subgraph2,walk_length,cos_sim,rank,num_nodes,prop,rank_ex,num_nodes_ex,SR_walks
deepwalk,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,40,-0.02028774283826351,100,164,0.6098,2,2,0.3468
deepwalk,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,60,0.18170948326587677,43,223,0.1928,2,6,0.3269
deepwalk,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,80,0.5689311027526855,43,258,0.1667,5,8,0.2912
node2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,10,-0.03878486901521683,40,58,0.6897,4,4,0.3842
node2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,20,-0.02345510758459568,63,103,0.6117,4,5,0.3692
node2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,40,0.010397393256425858,116,169,0.6864,2,3,0.3456
node2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,60,0.11257150769233704,117,231,0.5065,7,7,0.3244
node2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,80,0.38404181599617004,44,285,0.1544,4,6,0.327
metapath2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,10,-0.038871027529239655,1,1,1.0,1,1,1.0
metapath2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,20,-0.038871027529239655,1,1,1.0,1,1,1.0
metapath2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,40,-0.038871027529239655,1,1,1.0,1,1,1.0
metapath2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,60,-0.038871027529239655,1,1,1.0,1,1,1.0
metapath2vec,"['lapatinib', 'afatinib']",535,537,0.347,0.2479,0.1338,80,-0.038871027529239655,1,1,1.0,1,1,1.0
deepwalk,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,10,-0.03060154989361763,37,59,0.6271,7,13,0.3842
deepwalk,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,20,-0.030131682753562927,71,102,0.6961,17,22,0.3359
deepwalk,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,40,0.026970453560352325,92,182,0.5055,11,22,0.2987
deepwalk,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,60,0.09282554686069489,94,239,0.3933,6,21,0.3303
deepwalk,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,80,0.24906578660011292,42,298,0.1409,4,24,0.2767
node2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,10,-0.031968992203474045,33,57,0.5789,4,7,0.3579
node2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,20,-0.023338742554187775,81,114,0.7105,12,16,0.341
node2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,40,-0.011301495134830475,101,174,0.5805,7,12,0.3367
node2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,60,0.06673989444971085,140,262,0.5344,15,35,0.3008
node2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,80,0.13516423106193542,139,299,0.4649,20,35,0.2962
metapath2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,10,-0.03254254534840584,1,1,1.0,1,1,1.0
metapath2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,20,-0.03254254534840584,1,1,1.0,1,1,1.0
metapath2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,40,-0.03254254534840584,1,1,1.0,1,1,1.0
metapath2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,60,-0.03254254534840584,1,1,1.0,1,1,1.0
metapath2vec,"['captopril', 'enalapril']",572,631,0.1904,0.1987,0.3242,80,-0.03254254534840584,1,1,1.0,1,1,1.0
deepwalk,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,10,-0.035237014293670654,42,61,0.6885,1,1,0.4579
deepwalk,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,20,-0.021139107644557953,58,103,0.5631,1,1,0.4821
deepwalk,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,40,-0.011293701827526093,97,159,0.6101,2,2,0.4684
deepwalk,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,60,0.08276398479938507,113,241,0.4689,6,7,0.463
deepwalk,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,80,0.1377078741788864,98,303,0.3234,3,4,0.4308
node2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,10,-0.0353190153837204,33,54,0.6111,1,4,0.4947
node2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,20,-0.027859747409820557,68,108,0.6296,3,4,0.4487
node2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,40,0.0005022063851356506,128,185,0.6919,2,6,0.462
node2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,60,0.010944120585918427,153,248,0.6169,5,7,0.4319
node2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,80,0.17251938581466675,43,315,0.1365,2,6,0.4352
metapath2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,10,-0.0355570986866951,1,1,1.0,1,1,1.0
metapath2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,20,-0.0355570986866951,1,1,1.0,1,1,1.0
metapath2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,40,-0.0355570986866951,1,1,1.0,1,1,1.0
metapath2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,60,-0.0355570986866951,1,1,1.0,1,1,1.0
metapath2vec,"['losartan', 'valsartan']",618,636,0.2305,0.3143,0.3191,80,-0.0355570986866951,1,1,1.0,1,1,1.0
deepwalk,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,10,-0.002243325114250183,30,57,0.5263,5,11,0.4842
deepwalk,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,20,0.0040771812200546265,53,96,0.5521,6,12,0.3821
deepwalk,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,40,0.03870090842247009,80,173,0.4624,13,32,0.3987
deepwalk,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,60,0.18826371431350708,35,254,0.1378,6,43,0.4151
deepwalk,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,80,0.6337107419967651,7,304,0.023,2,63,0.3698
node2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,10,-0.0024979040026664734,29,53,0.5472,4,7,0.4211
node2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,20,0.01705244928598404,44,91,0.4835,9,13,0.4769
node2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,40,0.016150444746017456,96,183,0.5246,14,26,0.4025
node2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,60,0.18571658432483673,78,271,0.2878,13,50,0.3454
node2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,80,0.4043666124343872,20,331,0.0604,2,52,0.3535
metapath2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,10,-0.0024860426783561707,1,1,1.0,1,1,1.0
metapath2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,20,-0.0024860426783561707,1,1,1.0,1,1,1.0
metapath2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,40,-0.0024860426783561707,1,1,1.0,1,1,1.0
metapath2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,60,-0.0024860426783561707,1,1,1.0,1,1,1.0
metapath2vec,"['nifedipine', 'felodipine']",603,736,0.1158,0.2391,0.4132,80,-0.0024860426783561707,1,1,1.0,1,1,1.0
deepwalk,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,10,0.11890265345573425,4,50,0.08,3,6,0.4579
deepwalk,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,20,0.12404245883226395,9,93,0.0968,3,12,0.4923
deepwalk,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,40,0.13470739126205444,12,174,0.069,2,28,0.4215
deepwalk,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,60,0.23572805523872375,13,229,0.0568,2,4,0.3261
deepwalk,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,80,0.5032949447631836,16,288,0.0556,3,5,0.3843
node2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,10,0.11820784956216812,4,49,0.0816,2,17,0.5105
node2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,20,0.1310359239578247,10,97,0.1031,2,9,0.4026
node2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,40,0.17708691954612732,14,174,0.0805,2,9,0.4114
node2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,60,0.33839014172554016,2,239,0.0084,2,24,0.4176
node2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,80,0.4907224476337433,10,291,0.0344,4,20,0.3962
metapath2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,10,0.11636963486671448,1,1,1.0,1,1,1.0
metapath2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,20,0.11636963486671448,1,1,1.0,1,1,1.0
metapath2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,40,0.11636963486671448,1,1,1.0,1,1,1.0
metapath2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,60,0.11636963486671448,1,1,1.0,1,1,1.0
metapath2vec,"['simvastatin', 'atorvastatin']",611,657,0.2413,0.279,0.3147,80,0.11636963486671448,1,1,1.0,1,1,1.0
deepwalk,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,10,-0.014558665454387665,41,59,0.6949,6,8,0.4211
deepwalk,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,20,0.0011128932237625122,60,101,0.5941,9,12,0.4205
deepwalk,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,40,0.00576946884393692,111,174,0.6379,4,8,0.4316
deepwalk,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,60,0.1073024570941925,89,247,0.3603,4,14,0.4235
deepwalk,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,80,0.3098636269569397,28,305,0.0918,3,20,0.4459
node2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,10,-0.013882048428058624,31,52,0.5962,2,2,0.4421
node2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,20,-0.004552289843559265,65,108,0.6019,6,9,0.4462
node2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,40,0.03722156584262848,90,179,0.5028,2,7,0.4215
node2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,60,0.13956230878829956,74,253,0.2925,7,23,0.3664
node2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,80,0.17376935482025146,70,316,0.2215,4,15,0.4327
metapath2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,10,-0.015240300446748734,1,1,1.0,1,1,1.0
metapath2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,20,-0.015240300446748734,1,1,1.0,1,1,1.0
metapath2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,40,-0.015240300446748734,1,1,1.0,1,1,1.0
metapath2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,60,-0.015240300446748734,1,1,1.0,1,1,1.0
metapath2vec,"['fluconazole', 'voriconazole']",677,720,0.247,0.3229,0.3318,80,-0.015240300446748734,1,1,1.0,1,1,1.0
